"species","latitude","longitude","date_obs","source"
"Rhinolophus ferrumequinum",44.36685,1.05477,2023-01-20,"gbif"
"Rhinolophus ferrumequinum",45.44211,0.76121,2023-01-12,"gbif"
"Rhinolophus ferrumequinum",45.3438,0.38191,2023-01-19,"gbif"
"Rhinolophus ferrumequinum",44.80948,0.65988,2023-01-31,"gbif"
"Rhinolophus ferrumequinum",44.89673,0.52951,2023-01-31,"gbif"
"Rhinolophus ferrumequinum",45.3438,0.38191,2023-01-18,"gbif"
"Rhinolophus ferrumequinum",44.90684,1.03604,2023-01-26,"gbif"
"Rhinolophus ferrumequinum",45.43948,0.63335,2023-01-05,"gbif"
"Rhinolophus ferrumequinum",44.89673,0.52951,2023-01-31,"gbif"
"Rhinolophus ferrumequinum",45.3438,0.38191,2023-01-19,"gbif"
"Rhinolophus ferrumequinum",45.3438,0.38191,2023-01-19,"gbif"
"Rhinolophus ferrumequinum",45.16947,0.64479,2023-01-23,"gbif"
"Rhinolophus ferrumequinum",45.3438,0.38191,2023-01-19,"gbif"
"Rhinolophus ferrumequinum",44.90684,1.03604,2023-01-26,"gbif"
"Rhinolophus ferrumequinum",45.3521,0.76483,2023-01-12,"gbif"
"Rhinolophus ferrumequinum",44.90684,1.03604,2023-01-26,"gbif"
"Rhinolophus ferrumequinum",45.3438,0.38191,2023-01-19,"gbif"
"Rhinolophus ferrumequinum",45.3438,0.38191,2023-01-19,"gbif"
"Rhinolophus ferrumequinum",45.26456,0.89589,2023-01-30,"gbif"
"Rhinolophus ferrumequinum",45.44211,0.76121,2023-01-12,"gbif"
"Rhinolophus ferrumequinum",45.34671,0.50954,2023-01-18,"gbif"
"Rhinolophus ferrumequinum",45.16947,0.64479,2023-01-23,"gbif"
"Rhinolophus ferrumequinum",45.3569,1.02016,2023-01-30,"gbif"
"Rhinolophus ferrumequinum",44.36685,1.05477,2023-01-20,"gbif"
"Rhinolophus ferrumequinum",45.3438,0.38191,2023-01-19,"gbif"
"Rhinolophus ferrumequinum",45.34948,0.63718,2023-01-12,"gbif"
"Rhinolophus ferrumequinum",45.34671,0.50954,2023-01-05,"gbif"
"Rhinolophus ferrumequinum",45.3438,0.38191,2023-01-18,"gbif"
"Rhinolophus ferrumequinum",44.89673,0.52951,2023-01-31,"gbif"
"Rhinolophus ferrumequinum",45.34671,0.50954,2023-01-19,"gbif"
"Rhinolophus ferrumequinum",44.54454,0.92272,2023-01-30,"gbif"
"Rhinolophus ferrumequinum",45.16947,0.64479,2023-01-23,"gbif"
"Rhinolophus ferrumequinum",45.3521,0.76483,2023-01-12,"gbif"
"Rhinolophus ferrumequinum",45.43379,0.37767,2023-01-05,"gbif"
"Rhinolophus ferrumequinum",45.44211,0.76121,2023-01-12,"gbif"
