"species","latitude","longitude","date_obs","source"
"Barbastella barbastellus",43.66388,3.18592,2022-01-22,"gbif"
"Barbastella barbastellus",43.93313,3.43587,2022-01-22,"gbif"
"Barbastella barbastellus",44.02313,3.43655,2022-01-22,"gbif"
"Barbastella barbastellus",43.93313,3.43587,2022-01-22,"gbif"
"Barbastella barbastellus",44.0811,0.31507,2022-01-24,"gbif"
"Barbastella barbastellus",44.17106,0.31082,2022-01-24,"gbif"
"Barbastella barbastellus",45.308568,4.411977,2022-02-05,"gbif"
"Barbastella barbastellus",45.28434,3.06378,2022-02-05,"gbif"
"Barbastella barbastellus",45.2839,2.68112,2022-02-04,"gbif"
"Barbastella barbastellus",45.37351,2.55285,2022-02-04,"gbif"
"Barbastella barbastellus",45.79672,5.51076,2022-02-05,"gbif"
"Barbastella barbastellus",45.79672,5.51076,2022-02-05,"gbif"
"Barbastella barbastellus",43.25642,-0.76095,2022-02-10,"gbif"
"Barbastella barbastellus",43.25642,-0.76095,2022-02-04,"gbif"
"Barbastella barbastellus",43.25642,-0.76095,2022-02-10,"gbif"
"Barbastella barbastellus",47.77341,0.26241,2022-02-12,"gbif"
"Barbastella barbastellus",49.05627,1.56339,2022-02-08,"gbif"
"Barbastella barbastellus",44.90684,1.03604,2022-02-10,"gbif"
"Barbastella barbastellus",46.60062,0.19072,2022-02-04,"gbif"
"Barbastella barbastellus",47.04377,-0.09596,2022-02-08,"gbif"
"Barbastella barbastellus",44.90684,1.03604,2022-02-03,"gbif"
"Barbastella barbastellus",44.90684,1.03604,2022-02-01,"gbif"
"Barbastella barbastellus",44.99902,1.15975,2022-02-02,"gbif"
"Barbastella barbastellus",44.02185,3.686,2022-02-04,"gbif"
"Barbastella barbastellus",43.93313,3.43587,2022-02-01,"gbif"
"Barbastella barbastellus",44.01759,4.18486,2022-03-31,"gbif"
"Barbastella barbastellus",48.78654,4.42919,2022-03-26,"gbif"
"Barbastella barbastellus",44.74325,2.55786,2022-03-26,"gbif"
"Barbastella barbastellus",47.70154,1.19983,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-21,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-15,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
